n,street,key,candidates
1,North Chopin Avenue,chopin,A=Q130200|B=Q1340262|C=Q152140|D=Q1268|E=Q15917350
2,North Arlington Drive,arlington,A=Q49279759|B=Q733060|C=Q17943|D=Q2090461|E=Q107126
3,West Miller Street,miller,A=Q112652126|B=Q36195147|C=Q19813043|D=Q1605060|E=Q22113770
4,North Westview Way,westview,A=Q7989740|B=Q7989759|C=Q7989745|D=Q1988038|E=Q12072784
5,North Red Pine Avenue,red pine,A=Q382469|B=Q382469|C=Q2934277|D=Q382469
6,West Balance Rock Drive,balance rock,A=Q4849958|B=Q31450157|C=Q49473482|D=Q109546906
7,North Player Avenue,player,A=Q19204627|B=Q96275569|C=Q36933283|D=Q937857|E=Q5276395
8,North Ulmer Street,ulmer,A=Q10708801|B=Q3240535|C=Q10708805|D=Q111752786|E=Q15730695
9,West Fairmont Street,fairmont,A=Q985171|B=Q2053885|C=Q2001693|D=Q2023450|E=Q1393345
10,West Afton Street,afton,A=Q389458|B=Q616197|C=Q389436|D=Q37493528|E=Q66247006
11,West Surf Street,surf,A=Q11739436|B=Q159992|C=Q18156733|D=Q2422744|E=Q7645846
12,South Pomander Road,pomander,A=Q125094286|B=Q131398340|C=Q104007057|D=Q4736|E=Q79942300
13,East Trinity Lane,trinity,A=Q37090|B=Q2453548|C=Q2594704|D=Q105396010|E=Q7842531
14,West Bucktail Drive,bucktail,A=Q130417205|B=Q4983545|C=Q34806734|D=Q4983540|E=Q4983543
15,West Parkridge Drive,parkridge,A=Q49539548|B=Q7138624|C=Q7138623|D=Q131706674|E=Q1841108
16,West Enchantment Street,enchantment,A=Q1999796|B=Q60376281|C=Q5375404|D=Q5375405|E=Q65648550
17,East Seville Lane,seville,A=Q112323610|B=Q8717|C=Q683023|D=Q7458058|E=Q95088
18,East Redwood Court,redwood,A=Q5492481|B=Q1975652|C=Q1975652|D=Q15356853|E=Q15356853
19,Standifer Road,standifer,A=Q35367078|B=Q35367052|C=Q35367065|D=Q36898865
20,West Greensboro Court,greensboro,A=Q79254|B=Q49238|C=Q2353901|D=Q2971268|E=Q1183306
21,West Geyser Street,geyser,A=Q5555008|B=Q83471|C=Q115805800|D=Q37571712|E=Q104034206
22,West Gelding Drive,gelding,A=Q123337763|B=Q3482590|C=Q109468794|D=Q58929|E=Q506461
23,West Kingman Street,kingman,A=Q2232369|B=Q79733|C=Q130895|D=Q37568359|E=Q6412820
24,West Jean Street,jean,A=Q4160311|B=Q44709|C=Q12657412|D=Q7521081|E=Q1684580
25,East Spartan Street,spartan,A=Q66566253|B=Q773325|C=Q3966049|D=Q270222|E=Q2467949
26,North Castle Hills Avenue,castle hills,A=Q665285|B=Q31110836|C=Q24661285|D=Q24661373|E=Q24661345
27,West Settlers Drive,settlers,A=Q21758870|B=Q106778096|C=Q2579674|D=Q1163239|E=Q2363298
28,South Ancona Avenue,ancona,A=Q289029|B=Q3415|C=Q16479626|D=Q46686|E=Q16114
29,West Whiff Drive,whiff,A=Q99673142|B=Q125534780|C=Q1154763|D=Q21340632
30,North Ballantyne Lane,ballantyne,A=Q21493425|B=Q18982796|C=Q90398737|D=Q4851439|E=Q85200459
31,North Towerview Lane,towerview,A=Q105416618|B=Q7829843|C=Q136357689|D=Q86928465|E=Q49571483
32,North Brownfield Way,brownfield,A=Q896586|B=Q3450817|C=Q991115|D=Q981849|E=Q37322255
33,East Veterans Memorial Parkway,veterans memorial,A=Q7923659|B=Q892793|C=Q2442654|D=Q7923658|E=Q112113320
34,North El Rancho Place,el rancho,A=Q20213431|B=Q5351976|C=Q3301852|D=Q109298363
35,South Pikesville Avenue,pikesville,A=Q34901882|B=Q7193664|C=Q7193665|D=Q69776509|E=Q755020
36,East Sky Bar Street,sky bar,A=Q7537248|B=Q125697618|C=Q52161391|D=Q136817346
37,West Brentwood Drive,brentwood,A=Q427849|B=Q3096621|C=Q909993|D=Q909975|E=Q2322282
38,West Pine Valley Lane,pine valley,A=Q1844155|B=Q1086595|C=Q6076168|D=Q7195402|E=Q7195401
39,North Ethan Place,ethan,A=Q21508920|B=Q153|C=Q7331102|D=Q19828980|E=Q484615
40,North Rathbone Avenue,rathbone,A=Q19092863|B=Q51907435|C=Q21606988|D=Q16858259|E=Q21493396
