n,street,subdivision,nearby_streets,candidates,option_1,option_2,verdict,notes
2,North Arlington Drive,Franklin Park,"Allumbaugh Street, Bermuda Drive, Cassia Street, Colonial Street, Daytona Drive, Douglas Court, Edgewater Drive, Franklin Road, Franklin Park Circle, Liberty Street, Mataro Lane, Tahoe Drive, Troxel Way","A. Arlington — census-designated place coextensive with Arlington County, Virginia, United States  _also known as: Arlington CDP, Arlington CDP, VA, Arlington CDP, Virginia, Arlington Census Designated Place_ || B. Arlington — village and civil parish in the Wealden district of East Sussex, England  _also known as: Arlington, East Sussex_ || C. Arlington — suburban city in Tarrant County, Texas, United States  _also known as: Arlington, TX, Arlington, Texas_ || D. Arlington — town in Middlesex County, Massachusetts, United States  _also known as: Arlington, MA, Arlington, Massachusetts_ || E. Arlington County — county in Virginia, United States; part of Washington metropolitan area  _also known as: Arlington County, VA, Arlington County, Virginia, Arlington, VA, Arlington, Virginia_",A,NONE,NONE,
7,North Player Avenue,Eagle Pointe,"Cypress Point Drive, Elkriver Way, Fairway Drive, Faldo Way, Floating Feather Road, Forest Park Court, Glenabby Place, Gleneagle Drive, Hiltonhead Way, Hogan Street, Irwin Street, Kite Drive, Lopez Way, Monhegan Drive, Myrtle Beach Court, Parkforest Way, Pinnacle Way, Poppy Hills Street, Purple Sage Way, Salishan Avenue, Sevenoaks Place, Skokie Drive","A. American football player — athlete who plays American football  _also known as: American footballer, football player, footballer, player of American football_ || B. Player — given name || C. Player — family name || D. association football player — person who plays association football (soccer)  _also known as: association footballer, association soccer player, football player, footballer_ || E. gamer — person who plays video games and/or identifies with the gamer identity  _also known as: player, video RPG player, video game player, video gamer_",C,NONE,NONE,
8,North Ulmer Street,Randall Acres,"49th Street, 50th Street, 51st Street, 52nd Street, Arnold Street, Bobran Court, Cadenza Lane, Camas Lane, Carlton Bay Drive, Christine Street, Claudia Road, Cole Road, Conover Street, Cummins Avenue, Curtis Road, Dunyon Street, Edna Drive, Elliott Street, Gardner Lane, Goddard Road, Great Sky Way, Horseshoe Bend Road","A. Ulmeritoides — genus of insects || B. Ulmer — human settlement in Allendale County, South Carolina, United States of America  _also known as: Ulmer, SC, Ulmer, South Carolina_ || C. Ulmerochorema — genus of insects || D. Ulmer Editions — French publisher  _also known as: Ulmer_ || E. Ulmer — family name",NONE,E,E,Model is technically right using family name
11,West Surf Street,Coronado,"Coronado Avenue, Eagle Flight Way, Kimball Street, Overland Road, Millwood Drive, Old Mill Drive, Pebblemill Way, Pebblestream Drive, Rodda Mill Street","A. surf — wave action near shore || B. surfing — sport that consists of riding a wave  _also known as: Surfing, surfboarding, surfin', 🏄_ || C. surf — minimalist web browser based on WebKit/GTK+  _also known as: surf (web browser), surf browser_ || D. SURF (Samenwerkende Universitaire Rekenfaciliteiten) — cooperative for ICT in Dutch education and research organisations  _also known as: SURF, Samenwerkende Universitaire Rekenfaciliteiten, surf.nl_ || E. Surf — 2002 studio album by Roddy Frame",NONE,A,A,
12,South Pomander Road,Eagleson Park Addition,"Abbs Lane, Broxon Lane, Cherry Lane, Dorian Court, Gourley Street, Hervey Street, Kerr Place, Lemhi Circle, Merrill Street, Nelson Place, Nez Perce Street, Overland Road, Owyhee Street, Palouse Street, Shoshone Street, Spaulding Street, Taggart Street, Targee Street, Vista Avenue","A. Pomander — decorative artwork by Stuart Golder || B. pomander — a fruit (normally orange, sometimes lemon or apple) studded with cloves, sometimes used as a Christmas decoration  _also known as: juleappelsin_ || C. Pomander — encyclopedia article || D. pomander — small pierced container to hold perfume  _also known as: pommander_ || E. Pomander — rock crystal by unknown artist (1989.349)",NONE,B,B,
13,East Trinity Lane,Triple Ridge Estates,"Beacon Light Road, Cottontail Court, Sage Hill Lane, Triple Ridge Place, Valli Hi Lane","A. Holy Trinity — Christian conception of God as consisting of three persons (hypostases) — the Father, the Son, and the Holy Spirit — sharing the same substance (ousia)  _also known as: Christian Trinity, Father, Son, Holy Ghost, Father, Son, Holy Spirit, Trinitarian God_ || B. Trinity — 1986 video game || C. Trinity — parish in Jersey, Channel Islands  _also known as: Trinite, Trinité_ || D. Trinity — given name || E. Trinity — town in Newfoundland and Labrador, Canada  _also known as: Trinity, Newfoundland and Labrador_",NONE,A,A,
16,West Enchantment Street,Once Upon A,"Ever After Way, State Street, Story Book Way, Cobblestone Way, Grey Pebble Place","A. incantation — magical formula intended to trigger a magical effect  _also known as: charm, enchantment, magic spell, spell_ || B. Enchantment — 1999 Del Rey Books hardcover edition || C. Enchantment — album by Charlotte Church || D. Enchantment — American musical group; soul/R&B band || E. enchantment — magic effect that was put on something or someone",E,A,E,
17,East Seville Lane,Bienville Square,"Bourbon Street, Cajun Lane, Centrepoint Way, Leblanc Way, Picard Lane, Ustick Circle, Villere Lane","A. Seville — Uzbek-born Russian singer  _also known as: Sevil Velieva, Seville_ || B. Seville — municipality of Andalusia, Spain  _also known as: Ishbiliya, Ixbiliya, Seville, Spain_ || C. Seville — municipality of Spain || D. Seville — town in Victoria, Australia  _also known as: Seville, Victoria, Seville, Victoria, Australia_ || E. Seville Province — province of Spain  _also known as: Province of Seville, province of Seville_",C,B,B,B is the one associated with the Wikipedia article with a bare title
19,Standifer Road,(none),(none),"A. Standifer Creek — stream in Sequatchie County, Tennessee, United States of America || B. Standifer Branch — stream in Marion County, Tennessee, United States of America || C. Standifer Creek — stream in Monroe County, Mississippi, United States of America || D. Standifer — family name",D,NONE,D,Model is technically right using family name
20,West Greensboro Court,Lakewood,"Apple Street, Arrowrock Lane, Ashbury Place, Autumn Way, Bayporte Place, Bayshore Place, Bayview Court, Bergeson Street, Bridgeporte Place, Bridgewater Court, Brookshore Place, Carter Street, Charlwood Court, Chickory Way, Coleridge Place, Congress Court, Crocus Street, Crossfield Way, Crosspoint Avenue, Denise Street, Dogwood Street, Fairbrook Drive","A. Greensboro — city in Hale County, Alabama, United States  _also known as: Greensboro, AL, Greensboro, Alabama_ || B. Greensboro — city in North Carolina, United States of America  _also known as: Greensboro, NC, Greensboro, North Carolina, Greensborough, Greensborough, North Carolina_ || C. Greensboro — city in and the county seat of Greene County, Georgia, United States  _also known as: Greenesboro, Georgia, Greenesborough, Georgia, Greensboro, GA, Greensboro, Georgia_ || D. Greensboro — town in Orleans County, Vermont, United States  _also known as: Greensboro, VT, Greensboro, Vermont_ || E. Greensboro — borough in Greene County, Pennsylvania, United States  _also known as: Greensboro, PA_",NONE,B,NONE,
