street,domain,wikidata_label,qid,description,located_in,sitelinks,km_from_ada_county,same_name_items,next_best_alternatives,changed_since_first_pass,your_first_note,verdict__y_n_w_q,notes
North Mink Creek Avenue,us_river,Mink Creek,Q30628716,"river in Otsego County, New York, United States","Otsego County, New York",2,3312,3,"Mink Creek (Lewis County, New York) | Mink Creek (Wayne County, New York)",,could be Idaho place or coincidental invented name. Never heard of Idaho place before as a local,n,all in new york so none plausible. Must be invented
South Blue Hill Lane,us_mountain,Blue Hill,Q49014348,"mountain in Cassia County, Idaho, United States of America","Cassia County, Idaho",1,244,30,"Blue Hill (Cache County, Utah) | Blue Hill (Sullivan County, New York) | Blue Hill (Hot Springs County, Wyoming)",yes,"likely coincidental. Can we invent heuristic that matches intuition for things like this? I think this reveals sitelinks don’t confer notability for all things. No matter what, human review would be needed here, so best thing we could output would be low confidence",n,Idaho place makes invented name unlikely | CORRECTED by AP: should not have accepted this.
West Kingston Drive,fish,Kingston,Q2236628,species of fish,,20,,2,Kingston [species of fish],,use nearby streets,n,"definitely not fish, but nothing supports capital"
North Hunter Creek Avenue,us_river,Hunter Creek,Q27986956,"river in Stevens County, Washington, United States of America","Stevens County, Washington",2,541,7,"Hunter Creek (Jasper County, Texas) | Hunter Creek (Missouri) | Hunter Creek (Missouri)",,likely coincidental invented,q,"common name, reranking does not help. There is a Hunter Creek in Idaho, but it seems unnotable"
South Triumph Place,idaho_place,Triumph,Q7844478,"human settlement in Idaho, United States of America",Idaho,4,162,1,-,,use nearby streets,q,nearby streets are no help
South Stibnite Avenue,idaho_place,Stibnite,Q122565131,"locality in Valley County, Idaho, United States","Valley County, Idaho",0,176,1,-,,use nearby streets. Could be mineral name (which was not included as other domain),y,"mineral name based on nearby streets | CORRECTED by AP: mining TOWN is right. Jumped to a conclusion from Cuprum. Cluster contains Bayhorse, Placerville, Oakley, Cuprum, Stibnite - all Idaho mining towns."
North Bamboo Avenue,plant,bamboo,Q311331,genus of clumping bamboo species,,41,,2,bamboo [genus of plants],,could be a same name item,q,I have no idea which Wikidata item is correct to use here
East Lost Creek Drive,us_river,Lost Creek,Q49951774,"river in Bannock County, Idaho, United States of America","Bannock County, Idaho",1,338,14,Lost Creek (Oregon) | Lost Creek (Oregon) | Lost Creek (Missouri),yes,where in the us is the river? Summary does not mention state,y,must be the one in Idaho
South White Pine Lane,plant,White Pine,Q1981615,species of plant,,24,,2,White Pine [species of plant],,how is it different from same name item?,w,"I had to check since the summaries were identical. Q118442493, western white pine, is the correct one, but I could only determine this from one of its alternate names, Idaho white pine"
West Duck Lake Drive,us_lake,Duck Lake,Q49301948,"lake in Valley County, Idaho, United States of America","Valley County, Idaho",1,181,80,"Duck Lake (Oregon) | Duck Lake (Spokane County, Washington) | Duck Lake (Lincoln County, Washington)",yes,seems invented,y,must be the one in Idaho
