street,answer,note
East 51st Street,INVENTED,Obviously the ordinal number
East Beamer Court,PERSONAL,Name
East Beechcraft Court,Q634227,
East Bentley Drive,NONE,"Should be the car, but not given as option"
East Blakehurst Street,Q4924569,
East Blue Valley Lane,INVENTED,Invented for theme
East Cadillac Drive,Q27436,
East Castlerock Court,INVENTED,
East Celia Court,PERSONAL,"May be theme, but candidates seem bad"
East Chester Lane,PERSONAL,Could be missing theme | Really should be NOETYM. AI comes up with spurious British theme that doesn't apply because they belong to neighboring subdivisions. We need a check for that!
East Cleary Street,PERSONAL,
East Daniel Court,PERSONAL,Name
East Esperanto Street,Q143,
East Farewell Bend Court,Q5435017,"Most likely a reference to whatever ""Farewell Bend"" is that gives the state recreation area in Oregon its name | Human missed theme! It is, in fact, on the Oregon Trail"
East Front Runner Lane,INVENTED,"Could it be an individual race horse, or just the concept of the one winning? Neither are options"
East Grayson Street,PERSONAL,Local's name
East Greiner Street,PERSONAL,AI selected name despite prompt telling it not to. We need to filter these out from the choices given to AI
East Hadler Street,INVENTED,
East Helix Street,NONE,Probably refers to the structure
East Limestone Street,Q23757,
East Linmar Drive,PERSONAL,No exact matches for name
East Loop Lane,INVENTED,
East Los Altos Drive,Q864124,
East Maddy Lane,PERSONAL,Local's name
East Madrigal Street,NONE,"Most likely reference for name, but no apparent theme | Human should have noticed winery theme"
East Nahuatl Drive,Q13300,
East Redwood Court,Q1975652,"B and C appear identical, as are D and E, but genus should be correct"
East Ronda Street,INVENTED,Could be missing theme
East Rosemary Court,NONE,"Candidate summaries are ambiguous, no way to choose (Update: Q102240169)"
East Seville Lane,Q8717,Seems more notable than the other locations | B is the one associated with the Wikipedia article with a bare title
East Shadow Creek Lane,INVENTED,Seems invented
East Skokie Drive,INVENTED,Nothing supports Illinois theme
East Sky Bar Street,INVENTED,
East Spartan Street,NONE,"There is no item for a resident of ancient Sparta, surprisingly"
East Spinosa Drive,INVENTED,Local's name
East Terrazzo Court,Q1334655,
East Trinity Lane,Q37090,Could be the given name or a toponym
East Veterans Memorial Parkway,INVENTED,Generic
East Whitehall Street,INVENTED,"Candidates are wrong, but there may be theme"
Emmett Highway,Q988735,
North Abernathy Way,Q319659,
North Anfield Avenue,INVENTED,"Local's name | AI says Liverpool district is well-known, but I've never heard of it"
North Arlington Drive,INVENTED,I see a possible theme with Colonial and Liberty
North Avain Avenue,INVENTED,Seems fully invented due to no exact text matches in Wikidata
North Ballantyne Lane,PERSONAL,"Family name | Model is technically right using family name; was A, a bare personal-name item"
North Barholm Lane,Q4860662,Could be missing theme
North Berry Drive,PERSONAL,Ambiguous between name and fruit
North Bonnie Lane,INVENTED,
North Bonsai Lane,Q64365,
North Bottle Creek Place,INVENTED,Probably a geographic theme I'm missing
North Brownfield Way,INVENTED,"Could be A, although it seems like an unpleasant name for a street | D is an obscure place, very implausible"
North Burlington Circle,INVENTED,"Generic name | AI says theme may refer to a particular Burlington in England, but no candidate present, while human ruled too generic"
North Burt Place,PERSONAL,Local's name
North Cape Arago Place,Q49872810,"Could be referring to the lighthouse, if the lighthouse is particularly famous. There may be a theme, but I am not detecting it."
North Capitol View Lane,INVENTED,Likely refers to the visibility of the Idaho Capitol Building
North Castle Hills Avenue,INVENTED,
North Chopin Avenue,Q1268,
North Contour Way,INVENTED,
North Crafted Lane,INVENTED,Refers to the general concept of a crafted thing
North Crosswater Way,INVENTED,Invented theme
North Del Sol Way,PERSONAL,Probably invented name
North Downing Drive,INVENTED,
North El Rancho Place,Q5351976,California theme
North Ethan Place,PERSONAL,"Family name | Model is technically right using given name; was D, a bare personal-name item"
