street,domain,qid,wikidata_label,sitelinks,km_from_ada_county,same_name_items,other_domains,verdict,notes,pass,source
West Bufflehead Street,bird,Q576762,Bufflehead,45,,1,-,y,,1,hand-label (audit agreed)
North Sable Lane,mammal,Q26423,Sable,86,,1,-,y,,1,hand-label (audit agreed)
North James Street,grape_variety,Q112256118,James,1,,1,-,n,very common ,1,hand-label (audit agreed)
East Ronald Reagan Drive,us_president,Q9960,Ronald Reagan,304,,1,-,y,,1,hand-label (audit agreed)
East Jamaica Court,country,Q766,Jamaica,281,4587,1,-,y,,1,hand-label (audit agreed)
North Coneflower Avenue,plant,Q5304671,coneflower,1,,1,-,y,,1,hand-label (audit agreed)
West Black Rock Drive,us_mountain,Q49013968,Black Rock,1,158,26,-,n,"too generic of a name, must be invented",2,audit: ruled for author
West Cobalt Lake Drive,us_lake,Q5138715,Cobalt Lake,1,595,2,-,n,Glacier Lake is notable. Semi-obscure pick but seems totally valid | AUDIT: verdict changed to 'n' per AP ruling. Model reasoning: No lake theme nearby; multiple same-named lakes exist with no way to pick one.,2,audit: ruled for model
East Wild Horse Lane,mammal,Q27742,Wild Horse,65,,1,-,y,,1,hand-label (audit agreed)
North Cabarton Lane,idaho_place,Q122563638,Cabarton,0,111,1,-,y,,1,hand-label (audit agreed)
West Athens Court,grape_variety,Q1524,Athens,0,,1,-,y,"definitely a city, but nearby streets needed to figure out which | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Olympic Park, World Cup, Champions nearby — Athens as Olympic host city.",1,audit: ruled for model
South Bench Way,idaho_place,Q4478339,Bench,3,386,1,-,y,"AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: ""Bench"" is a regional Idaho geographic term (terrace), doesn't fit luminosity theme so likely literal.",1,audit: ruled for model
South Alaska Avenue,us_state,Q797,Alaska,262,3117,1,-,y,,1,hand-label (audit agreed)
West Cardinal Drive,grape_variety,Q858435,Cardinal,10,,1,-,n,probably the bird,1,hand-label (audit agreed)
West Arizona Lane,us_state,Q816,Arizona,245,1093,1,-,y,,1,hand-label (audit agreed)
West Garganey Drive,bird,Q28106902,Garganey,87,,3,-,y,,1,hand-label (audit agreed)
West Delaware Street,us_state,Q1393,Delaware,220,3408,1,grape_variety,y,,1,hand-label (audit agreed)
West Chipmunk Court,mammal,Q85752125,Chipmunk,54,,1,-,y,"AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Black Wolf, White Fang nearby support general animal-name theme.",1,audit: ruled for model
North Sundial Way,us_mountain,Q80793,Sundial,1,729,1,-,y,"should be the timekeeping device based on proximity | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Sunbelt, Sundisk, Sunstone nearby — generic sundial device fits pattern.",1,audit: ruled for model
South Golden Eagle Lane,bird,Q41181,Golden Eagle,110,,1,-,y,,1,hand-label (audit agreed)
West Thor Drive,norse_deity,Q42952,Thor,105,,1,us_president,y,,1,hand-label (audit agreed)
South Shawnee Way,us_ethnic_group,Q253436,Shawnee,44,,1,-,y,,1,hand-label (audit agreed)
West Apollo Street,roman_deity,Q37340,Apollo,125,,2,greek_deity,y,,1,audit: ruled for author
West Tiger Perch Court,fish,Q2655115,Tiger perch,26,,1,-,y,,1,hand-label (audit agreed)
North Wales Avenue,country,Q25,Wales,257,7565,1,-,y,,1,hand-label (audit agreed)
North Bluegrass Avenue,plant,Q157656,bluegrass,51,,1,-,y,technically ambiguous but almost certainly plant-related,1,hand-label (audit agreed)
East Cutgrass Lane,plant,Q158961,cutgrass,32,,4,-,y,,1,hand-label (audit agreed)
West Snake River Drive,us_river,Q272074,Snake River,60,489,7,-,y,,1,hand-label (audit agreed)
West Norway Street,country,Q20,Norway,393,7547,1,-,y,,1,audit: ruled for author
East Carnation Court,plant,Q158984,carnation,78,,1,-,y,,1,hand-label (audit agreed)
South Canvasback Way,bird,Q378533,Canvasback,40,,1,-,y,,1,hand-label (audit agreed)
West Delaware Street,grape_variety,Q1393,Delaware,9,,1,us_state,y,should be the state | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: No clear theme; state name is the most generic plausible fit.,1,audit: ruled for model
North Brumby Lane,horse_breed,Q850232,Brumby,22,,1,-,y,,1,hand-label (audit agreed)
North Crested Butte Avenue,us_mountain,Q592729,Crested Butte,8,928,1,-,y,nearby streets indicate Colorado mountain | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Paired with Yellowstone Court — Colorado ski town fits travel theme.,2,audit: ruled for model
West Seneca Drive,us_ethnic_group,Q213422,Seneca,37,,1,grape_variety,y,,1,hand-label (audit agreed)
South Island Fox Avenue,mammal,Q722180,Island fox,49,,1,-,y,,1,hand-label (audit agreed)
West Crater Lake Court,us_lake,Q329266,Crater Lake,52,479,3,-,y,,1,hand-label (audit agreed)
West Red Deer Court,mammal,Q79794,red deer,109,,1,-,y,,1,hand-label (audit agreed)
North Chestnut Hill Way,us_mountain,Q25203991,Chestnut Hill,2,3366,41,-,n,"too generic of a name, must be invented",2,hand-label (audit agreed)
West San Marino Drive,country,Q850869,San Marino,314,9047,1,-,y,"AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Subdivision name matches; San Anita, San Rafael, Sorrento are CA place names.",1,audit: ruled for model
West Talbot Street,dog_breed,Q39390,Talbot,11,,1,-,n,AUDIT: verdict changed to 'n' per AP ruling. Model reasoning: No strong evidence for any candidate despite possible Welsh-place undertone (Canaston).,1,audit: ruled for model
South Appaloosa Drive,horse_breed,Q620656,Appaloosa,42,,1,-,y,,1,hand-label (audit agreed)
West Crescent Court,idaho_place,Q19879194,Crescent,3,355,1,-,n,ambiguous,1,hand-label (audit agreed)
South Blue Hill Lane,us_mountain,Q49014348,Blue Hill,1,244,30,-,n,Idaho place makes invented name unlikely | CORRECTED by AP: should not have accepted this.,2,hand-label (audit agreed)
North Mink Creek Avenue,us_river,Q114136653,Mink Creek,2,3312,3,idaho_place,y,"all in new york so none plausible. Must be invented | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: ""X Creek"" pattern with other real Idaho creek names (Cayuse Creek, Divide Creek), best Idaho fit.",2,audit: ruled for model
West Suttle Lake Drive,us_lake,Q117764,Suttle Lake,5,453,1,-,y,,1,hand-label (audit agreed)
